,Location,Scene,Text,Speaker,Season
30105,Howard’s house,,,Howard,4
30106,A restaurant,,I’m sorry. 16?,Sheldon,4
30107,Penny’s apartment,,You’re not gonna let this go are you?,Penny,9
30108,The stairwell,,I’m sorry is the fact that my life’s falling apart interfering with your board game?,Penny,7
30109,The stairs," Sheldon is playing on his computer at the end of the long extension cord,",I know. I heard.,Penny,2
30110,The cinema,,You’re kidding.,Penny,5
30111,Leonard’s car,,You know the joke’s on him. Without the certificate of authenticity that bat’leth is worthless.,Sheldon,4
30112,The stairwell,,Instead of dwelling on the negative think about this. Your girlfriend was given an amazing opportunity which gives you an opportunity to show her that you’re a loving and supportive boyfriend.,Leonard,10
30113,The apartment,,I thought that subject had run its course so I changed it. It’s called reading the room Amy.,Sheldon,7
30114,The apartment,,Okay look we don’t need to rush into anything. All right? Maybe instead of Leonard moving in with me we just leave things the way they are and sometimes we’ll sleep over there and sometimes we’ll sleep over here.,Penny,9
30115,The same,,Wooh I’m all sweaty anybody want to log on to second life and go swimming I just built a virtual pool.,Sheldon,1
30116,The same,,Defcon 5? Well there’s no need to rush.,Sheldon,2
30117,The apartment," Sheldon enters from the bedroom area, Everyone else is present,",Good morning.,Sheldon,2
30118,Penny’s apartment," Knocking,",Okay listen. You don’t have to wear the wig. At this party we’re gonna win first prize just by showing up with a girl.,Leonard,4
30119,The Cheesecake Factory,,Sheldon I’m working.,Penny,2
30120,A moment later,,I call it the Mario and Luigi but whatever. Hey how’s Sheldon doing?,Howard,3
30121,The apartment,,No come on please don’t leave.,Howard,9
30122,Howard and Bernadette’s kitchen,,If you want you can find out right now.,Raj,10
30123,The apartment,,How else are you gonna study for the tests?,Sheldon,3
30124,The Apartment,,This conference is kind of a big thing. The keynote address is being delivered by George Smoot.,Leonard,2
30125,The apartment,,Yeah s-so it’s like Kooper with a K?,Raj,9
30126,The stairwell,,Wait why me? Wh-Why can’t your girlfriend be Wonder Woman?,Penny,4
30127,The cafeteria,,I understand it Sheldon.,Leonard,10
30128,The living room,,Well is that really necessary. If you need money you can always sell blood. And semen.,Sheldon,1
30129,The apartment," The guys are playing Boggle, There is a Klingon dictionary on the table,",Is qochbe’ spelled with a ?,Sheldon,2
30130,A coffee shop,,So uh what were you thinking? Combine their names?,Howard,9
30131,Sheldon’s classroom,,Yup.,Howard,8
30132,The apartment,,Damn.,Raj,3
30133,The apartment,,I’m in. Let’s do it.,Leonard,8
30134,Raj’s apartment,,You will.,Penny,6
30135,The cafeteria,,So while I’m waiting for this mysterious perfect match who may or may not exist I’m supposed to just be alone.,Howard,5
30136,Penny’s apartment," Amy is applying very red lip gloss,",Well for starters at some point that face starts talking.,Penny,6
30137,A restaurant,,No it’s usually over a weekend and trust me you do not feel good after it.,Penny,1
30138,The living room door," a fibre-optic camera emerges from underneath, We see the scene from its point of view, Cut to outside, Raj is holding a laptop, Howard is feeding the camera under the door,",He’s got a point.,Howard,1
30139,The apartment," The guys are studying a complex chart on the whiteboard,",We’ve got to be missing something. Let’s start again. The movie is playing here at 720 here at 740 here at 810 and here at 845.,Leonard,2
30140,The living room," The time machine is set up,",Not done. By the time I finally got to work they’d given my shift away. Yeah that’s right I’ve lost an entire day’s pay thanks to this… this…,Penny,1
30141,The foyer,,Oh you are going to love her. She is the kindest sweetest woman you’ll ever meet. Unless you’re a gopher digging up her vegetable garden. In that case you can expect to have your head bashed in with a shovel.,Sheldon,9
30142,The apartment,,Dude if I was wearing a bra I’d throw it at your head right now.,Howard,9
30143,The apartment,,This doesn’t make any sense. I mean I I thought I did a a really good job I… Excuse me.,Penny,7
30144,Mrs Wolowitz’s house,,Oh I meant beer pong.,Penny,8
30145,The living room of the apartment,,Yes but I assumed I would have been dead hundreds of years and that there would be an asterisk by his name because he would be a cyborg.,Sheldon,1
30146,The paintball range,,,Howard,2
30147,The airport arrivals area,,Oh. You got even smaller. I love it. Uh Meemaw this is Leonard. Leonard this is my Meemaw.,Sheldon,9
30148,On the stairs of Sheldon and Leonard’s building,,Thank you Sheldon you’re a good friend.,Leonard,1
30149,Penny’s bathroom,,Right there right there Oh God that’s it.,Leonard,8
30150,Leonard and Penny’s bedroom,,Go to sleep.,Leonard,10
30151,Raj’s car,,Well that’s what the bullies at Bruce Lee’s high school thought. And then bam. Karate.,Howard,8
30152,The apartment,,Where’s my notebook? My notebook’s gone. Oh no.,Sheldon,10
30153,A hotel room,,Don’t be silly. Just tell him.,Howard,6
30154,The apartment,,It’s not difficult for me. I’m having fun.,Leonard,4
30155,The apartment,,Hear hear.,Howard,5
30156,The apartment,,Oh.,Penny,10
30157,The apartment," Sheldon is steaming a Star Trek uniform,",Okay.,Penny,6
30158,Penny’s apartment," Penny is making a barette, Sheldon is timing her,",No sorry.,Penny,2
30159,Penny’s apartment,,Oh come on. It’s just a simple favour. Now when’s the last time I asked you to do something for me?,Sheldon,5
30160,The apartment,,Okay two friends each.,Leonard,8
30161,Sheldon’s classroom,,Well hey you’re my dear friends. You’ll get a Christmas card for a couple of years and then you’re dead to me.,Howard,8
30162,A few moments later,,What are you going to tell your mother?,Raj,2
30163,The apartment," The guys are studying a complex chart on the whiteboard,",What about the multiplex here? The seats are terrific.,Raj,2
30164,The stairwell,,Well I would prefer if people told me exactly what is on their mind.,Sheldon,10
30165,The cafeteria,,Where have you been?,Raj,6
30166,The apartment, Sheldon is listening to Darlin’,Aw. Am I like the dryer sheets of your heart?,Leonard,9
30167,The apartment,,Hmm. I can honestly say Penny.,Leonard,8
30168,Leonard and Penny are in bed,,Wow you really are a genius.,Penny,3
30169,The apartment," The guys are playing Wii bowling,",Now honey it’s okay.You don’t have to get me anything in return.,Penny,2
30170,The apartment,,Not much but he seemed to be in a pretty good place.,Raj,8
30171,A bar,,You’re not working late. Why did you lie to me?,Penny,7
30172,The apartment,,Uh can you repeat that? You’re breaking up.,Sheldon,9
30173,The apartment,,And?,Leonard,10
30174,The apartment,,Yup.,Raj,8
30175,The geology lab,,Okay uh let’s try it again. Uh but this time pretend the girl you want to meet doesn’t want to hurt you.,Howard,7
30176,The apartment,,Gosh I worked my ass off today. This is exactly what I needed.,Penny,6
30177,The comic book store,,Jab mein aat saal ka tha maine seekha tha. ,Sheldon,10
30178,Outside Penny’s door," Sheldon stands looking at his watch with his hand poised to knock, At the right moment he starts knocking,",And you’re not allowed to be sarcastic or snide to me while I’m doing so.,Sheldon,2
30179,The kitchen,,Sheldon you are not sick. This is but you are not.,Leonard,1
30180,The apartment,,Oh. Very well. Re-initiating calibration sequence. One two three four five six seven eight nine ten… eleven. It’s a good thing I didn’t send that letter.,Sheldon,8
30181,Outside Penny’s door," Leonard knocks,",What’s happening to us? We’re falling apart.,Raj,1
30182,Howard and Bernadette’s house,,Yeah of course.,Howard,9
30183,Penny’s doorway,,Is that what you want?,Leonard,3
30184,The apartment,,Well what is it?,Leonard,9
30185,The stairwell," Raj is coming up the stairs, he meets Penny who is going down,",You know where I come from someone comes into your house at night you shoot okay? And you don’t shoot to wound. I mean alright my sister shot her husband but it was an accident they were drunk. What was I saying?,Penny,1
30186,The apartment,,Are you sure?,Penny,10
30187,The apartment,,You know did he say things like youse guys or listen here see?,Howard,7
30188,The apartment," Sheldon is adjusting a device on his arm,",No. I’m having a moral crisis.,Leonard,5
30189,The lobby,,What’s Mrs. Riley’s chicken?,Penny,3
30190,Howard and Bernadette’s apartment,,Stuart?,Howard,7
30191,Sheldon’s office," Sheldon is writing on the whiteboard,",No no no no! That rate is much too low for what we’d expect from this collision. Do you understand that we’re talking about dark matter colliding in outer space?,Raj,3
30192,The apartment," A robotic arm is extracting some Chinese takeaway from a bag controlled by Howard,",Oh does that come up much on the space station?,Penny,4
30193,The same," later,",You want to decorate it tonight?,Leonard,10
30194,The apartment,,All right let me try this again. Where’s Leonard?,Penny,4
30195,The apartment,,I think the next time I have to speak to a call centre in India I’m going to try using an American accent.,Raj,6
30196,The stairs of the apartment building,,Well today we tried masturbating for money.,Sheldon,1
30197,The Wedding Chapel,,Okay.,Penny,9
30198,The apartment," Sheldon is stood in the middle of the room, His whiteboard is behind him, Every few moments he turns round suddently,",I’m attempting to view my work as a fleeting peripheral image so as to engage the superior colliculus of my brain.,Sheldon,3
30199,The apartment,,Go. ,Raj,2
30200,The apartment,,Well I don’t know how to do that.,Leonard,7
30201,Leonard’s car,,With a woman you were chasing through a park? That’s not a shot that’s a felony. What’s worse it cost me my prized Patang fighting kite. Sheldon I don’t suppose there’s any chance you could give me my kite back?,Raj,3
30202,Howard and Bernadette’s nursery,,Why do you bounce with your hands in the air like that?,Raj,10
30203,The building entrance lobby," The guys enter, Sheldon is dressed as a medieval monk, Howard is a court jester, Raj is a medieval gentleman and Leonard is a knight,",Relatively modern. Why what are you wearing?,Leonard,2
30204,The comic book store,,Yes.,Sheldon,10
30205,Leonard and Penny’s bedroom,,Okay. Open your eyes and see your new room.,Penny,10
30206,The apartment,,Wait. What are you talking about?,Leonard,3
30207,The cafeteria,,Oh please?,Raj,7
30208,The apartment," There is a knock on the door which then opens and Penny enters,",Hi. You know you probably don’t want to go in there.,Penny,2
30209,The apartment,,Nuts to that. What else you got?,Sheldon,5
30210,Bernadette’s car,,Hey look there’s Rothman’s empty office. Sad.,Howard,5
30211,Sheldon’s bedroom," Sheldon is asleep, There is a knock on the door,",What?,Sheldon,2
30212,The apartment,,All right Sheldon if you need me to take you to the dentist I will take you to the dentist.,Leonard,5
30213,The apartment,,Okay. Um. Well I already talked to Raj but I wanted to apologize to the rest of you for you know everything.,Penny,5
30214,The university cafeteria,,Thank you. How come you didn’t call me this morning?,Howard,4
30215,The hospital," Howard runs in and up to the counter,",,Howard,1
30216,Penny’s apartment,,So does that mean we get to do stuff like talk about cool shows or get dressed up in matching costumes and go to Comic-Con?,Leonard,6
30217,Penny’s apartment," Penny answers the door, Leonard is playing his cello outside,",Please forgive me. I should have told you about Alex.,Leonard,6
30218,The apartment,,Here Leonard ten eleven twelve uh fourteen dollars.,Penny,2
